Group,N,W,p-value,Normal
Adelie,151,0.9807078507062787,0.032397025013048406,No
Gentoo,123,0.9859276066609358,0.2336164888896008,Yes
Chinstrap,68,0.984493761674102,0.5605082387697975,Yes
